,model_name,threshold,image_name,distance
0,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0766.jpg,0.2212967653547569
1,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0485.jpg,0.07051870436357753
2,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0674.jpg,0.044069278167106485
3,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0417.jpg,0.03618058982447113
4,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0136.jpg,0.03210553928914149
5,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0570.jpg,
6,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0119.jpg,0.04130575907888444
7,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0595.jpg,0.3949433627752216
8,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0758.jpg,0.22972071285128104
9,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0479.jpg,0.034701571835250265
10,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0330.jpg,
11,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0379.jpg,
12,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0443.jpg,0.1497979196844573
13,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0025.jpg,0.010938509009367804
14,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0678.jpg,0.03324947903868112
15,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0547.jpg,0.10495443659787847
16,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0122.jpg,0.045614432196149635
17,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0465.jpg,
18,0FCMN32rmsprop_lr0.0001_prep_mobilenet_ep150,0.1,0163.jpg,0.039082733705130296
